0,1,2,3,4,5,6,7,8,9,10,11,12,labels
-697.7926,54.89004,0.66346514,12.435786,7.7339506,0.5307501,-3.216631,-3.1593947,-10.977551,-2.848711,0.8152976,-3.037067,1.9554468,neutral
-742.3968,55.064816,0.5984929,12.718229,6.5906334,0.5801022,-3.8052077,-3.9582956,-12.121597,-3.3383677,1.7538773,-2.994613,1.8090708,neutral
-771.96814,52.815792,-2.3855782,13.619969,2.1652863,-2.385855,-7.976934,-7.068495,-12.421226,4.4872775,-2.7588747,-0.7851601,-3.0086038,neutral
-692.8558,55.3639,-1.5483192,16.038305,8.81881,-0.14658624,-1.3733917,-5.29318,-11.623182,-1.3482836,0.8437145,-2.6412783,1.0172496,neutral
-736.8871,56.257004,-3.7978015,16.942915,8.331008,-0.031080501,-1.1501775,-6.292162,-13.238301,-1.6191181,1.5164508,-2.595314,0.92776144,neutral
-769.764,54.665207,-4.552989,19.131659,3.1411235,-1.9141376,-5.6445036,-10.160816,-9.851588,4.683969,-2.3021696,-1.5416929,-2.0286322,neutral
-691.5879,58.024662,0.15946463,13.62465,5.374112,1.1623365,-2.0833597,-5.382585,-10.332824,-3.6620808,0.5606006,-2.8382256,1.8347856,neutral
-710.2373,56.86992,-0.9175658,12.66675,4.0076942,0.38281694,-3.2499878,-7.2909994,-12.653365,-5.4267564,0.5509148,-3.244796,1.5500486,neutral
-746.53864,56.829933,-3.1766448,12.567873,-0.90260154,-2.3893585,-8.481794,-10.476357,-12.54948,1.7735516,-1.5663817,-1.7282151,-3.006971,neutral
-685.10547,55.87942,2.783262,13.252024,6.989669,2.9812741,-1.5860289,-6.961661,-10.348489,-3.270769,1.1761655,-1.4986562,0.5515501,neutral
-707.9395,55.69777,1.9879159,12.792988,6.088037,3.2256663,-1.6377835,-8.426605,-11.37099,-3.9390843,1.9406081,-0.2939783,1.1221744,neutral
-735.87177,54.48396,0.081863746,13.099232,2.8619454,1.3319341,-7.51768,-11.418682,-9.00878,2.5430071,1.5646943,-0.6667094,-2.1468108,neutral
-727.1044,62.355034,3.121181,15.064671,8.132434,1.927084,-3.2746563,-3.7617917,-9.7502985,-4.8538365,0.99631536,-3.1160698,0.5463206,calm
-749.706,60.740166,2.076355,14.967048,6.6504354,1.0480062,-4.0782237,-5.312913,-10.341334,-5.57968,0.5117563,-3.5289223,-0.03454699,calm
-776.10516,58.648243,0.87498283,16.399632,2.5330586,-1.4036816,-8.551183,-6.9222517,-10.283811,0.7464688,-1.7592082,-2.420909,-2.705539,calm
-707.3582,66.736465,2.2534885,11.169916,9.74208,1.0580921,-4.4261856,-4.6836147,-8.313273,-4.813667,1.7525572,-2.3765423,-0.20691955,calm
-737.0573,66.292755,1.7472165,10.878822,8.688385,0.4874011,-4.940971,-5.0379457,-8.374695,-4.534732,2.7178998,-2.1427982,-0.049851872,calm
-761.953,63.82756,-1.7539983,11.989316,3.6799157,-3.6472158,-8.970664,-5.5615516,-8.59172,2.4003,0.99350995,-2.37834,-1.90213,calm
-697.16614,65.1082,0.93036777,13.633627,5.959596,2.8950698,-1.3418187,-4.775753,-8.671515,-4.5529985,1.9706045,-1.6276461,1.4267263,calm
-723.6965,64.46632,0.38430566,13.641827,5.0295224,3.2894452,-1.7978622,-6.661712,-9.92293,-5.4982233,3.2805517,-0.9095462,1.6695898,calm
-752.2299,61.572746,-4.0975313,13.359466,-0.9273787,0.42770216,-9.795957,-9.170876,-10.841851,2.5506344,0.3651194,-0.93232477,-3.4388301,calm
-698.6377,68.698586,1.1003667,13.685943,8.338752,2.0671213,-0.6167907,-5.732325,-7.8613234,-4.4119186,1.0114723,-1.7058653,1.5934341,calm
-721.0465,67.97313,-0.0046734074,13.061949,7.572551,1.7951517,-1.4723094,-7.44694,-8.701018,-5.060227,1.443499,-1.5491403,1.203363,calm
-738.396,64.18257,-3.8206644,12.836456,1.7757244,-0.54962844,-8.0386715,-9.971257,-9.506652,1.1881471,0.12757954,-1.0496567,-2.2580092,calm
-734.1256,70.53291,4.2251797,13.866501,9.276525,1.8420302,-3.7091064,-2.8845074,-6.3325033,-4.483915,2.0064912,-0.029675197,-0.17859116,calm
-765.7393,69.896614,3.6051733,14.574191,9.374275,1.8860315,-3.9197364,-3.8209944,-6.2869434,-4.9819574,2.544115,0.034335088,0.4024399,calm
-789.4684,68.019165,0.67405117,16.889124,4.4260383,-1.2522216,-8.547528,-3.7093298,-7.8399954,1.4627339,0.76112926,-1.1501809,-3.724441,calm
-697.8223,67.33959,-0.44955125,11.884349,6.899115,0.5723886,-4.5503764,-6.025094,-7.9348655,-4.8724413,2.6747522,-1.4644698,-1.1086313,calm
-724.69305,66.12521,-0.31242263,12.540221,5.577051,-0.28531912,-5.363742,-6.556935,-8.437012,-5.815088,2.4973247,-1.707068,-1.3475373,calm
-766.129,65.73098,-2.4522889,14.891005,0.38243517,-1.9351125,-11.111208,-6.8029275,-9.912136,0.8479384,-0.3832041,-3.5615726,-5.003698,calm
-704.5413,68.82944,4.728955,11.950599,5.6388826,5.8340936,-4.8624907,-4.862799,-8.308453,-4.8761907,2.3179216,1.222751,0.5954947,calm
-732.47064,68.83557,4.8814683,12.169416,4.76957,6.3908715,-4.9528317,-6.317651,-8.428894,-6.1283836,2.1294615,1.3319821,0.2846476,calm
-749.5644,64.00945,0.64991105,11.340872,0.42451224,3.565914,-12.9742985,-7.252198,-9.870486,1.0813435,1.4855789,0.0828911,-6.011285,calm
-690.9957,65.29337,-3.5145001,14.551637,6.7378373,2.9514792,-4.367008,-8.268066,-9.742737,-3.7135794,3.773647,-0.95878875,-0.2662218,calm
-717.26556,64.354195,-4.09023,14.941644,5.3974442,3.004818,-5.154312,-10.043135,-10.393058,-4.564292,4.1912084,-0.7242197,-0.80881965,calm
-749.68585,60.925945,-6.3384304,16.331444,0.15658337,0.23815028,-13.516954,-11.345858,-9.165704,3.7344408,0.21705829,-3.3509274,-5.3641295,calm
-645.9547,63.116707,-4.3889427,12.588354,4.2411594,-2.9022603,-5.6718726,-6.6233625,-11.532383,-2.380413,-1.2910124,-6.8026524,1.1827942,happy
-672.9178,62.47241,-5.440431,13.455601,2.8420346,-3.7336779,-5.9411173,-7.3320546,-11.945883,-2.8336017,-1.075412,-6.6742845,1.2990527,happy
-692.77167,58.05045,-7.6907554,12.706567,-3.740458,-6.515843,-9.236645,-9.856611,-10.210078,1.770876,-6.4601383,-3.692521,-0.65450734,happy
-631.407,62.999477,-5.8192096,15.460055,6.526638,-1.5888869,-6.597417,-4.806329,-13.677246,-1.364501,0.1333667,-6.3668647,3.405448,happy
-664.30945,64.047455,-7.702023,16.08538,6.422203,-1.699136,-6.743412,-5.278165,-14.571998,-2.3626864,-0.2890664,-6.9400253,3.100916,happy
-698.5894,62.2731,-8.466898,17.458092,1.2397549,-5.519631,-8.477449,-9.19997,-12.6193285,4.189629,-5.882632,-1.3314673,0.16368699,happy
-656.2289,62.20653,-2.3432078,12.91607,1.8241278,-0.1707133,-5.6699896,-7.286775,-13.776975,-3.3122015,2.3617578,-7.0014296,1.9307773,happy
-674.2728,61.49367,-3.5594916,12.023307,0.6291184,-0.55472034,-7.145251,-9.460443,-15.147073,-4.3079,2.7908382,-6.512686,1.5199616,happy
-710.305,60.259335,-6.185296,11.389658,-4.842358,-3.888942,-13.568207,-11.744241,-13.666646,5.287224,-3.4462836,-3.4580321,-0.8595419,happy
-652.70056,57.02253,0.41844004,18.289316,2.6309884,0.41835555,-2.5292726,-6.284705,-13.434198,-3.6181445,0.6169871,-4.589428,2.576322,happy
-679.7251,57.534187,0.22178501,19.42783,1.6403598,0.7394506,-2.6653924,-7.768686,-14.169093,-4.1162715,1.1408545,-3.8881369,2.5893586,happy
-706.34766,54.72643,-0.57848436,18.324673,-4.1730084,-1.2776885,-9.365444,-10.989341,-12.014033,3.6833372,-2.280926,-1.1208481,-1.8120525,happy
-596.5581,49.15078,-5.9865155,5.6085687,-1.2716348,-1.2067616,-12.03728,-8.81426,-11.101425,-8.968307,-0.6817095,-7.0525784,-1.9013768,happy
-615.906,49.25067,-7.0031333,4.880941,-2.7701063,-1.5132174,-12.729218,-9.451965,-11.904648,-9.990851,-0.5953844,-6.668822,-1.6800064,happy
-645.19617,46.83777,-9.710438,3.9092693,-6.8105693,-6.0617166,-17.856634,-9.0292635,-13.545325,-3.0153031,-3.4074652,-5.8530498,-2.318739,happy
-559.92334,54.875935,-11.518561,5.495307,2.4158707,-1.8642917,-11.111782,-7.596749,-14.508147,-7.4336433,3.2631521,-7.8864746,-1.6498955,happy
-598.9876,58.442226,-12.429966,5.513052,2.3927903,-1.0828074,-12.324354,-8.37859,-15.681656,-7.9950233,3.9999726,-7.729656,-1.7048894,happy
-627.79315,54.90946,-14.879499,6.9684405,-1.1786397,-6.313441,-16.321554,-8.484882,-15.865373,2.5305593,-2.3275244,-7.8992314,0.65997756,happy
-517.75696,48.02012,-10.221419,7.83182,-0.17214859,-2.173067,-10.422513,-9.233612,-17.878963,-4.913381,0.0017015345,-9.143922,0.11875597,happy
-542.5407,48.845898,-11.802679,6.666498,-1.0289688,-2.4050584,-11.759866,-10.796978,-19.539955,-5.7637734,-0.049296096,-9.385247,-0.20418483,happy
-580.1775,46.333668,-13.924096,6.0983396,-4.4695106,-7.714861,-17.355762,-14.549088,-16.560804,3.6642594,-5.911222,-6.206218,-0.38144776,happy
-539.19855,49.672794,-8.996246,6.914048,-1.1240026,-3.3295467,-9.793234,-9.628173,-17.208342,-7.140059,-1.7678515,-7.01247,-0.28077123,happy
-567.021,50.822006,-10.08382,6.362409,-1.9497517,-2.8166125,-10.430184,-11.239221,-17.914547,-7.1796074,-1.8233153,-6.2226305,-0.80907387,happy
-598.34406,47.10536,-12.44146,4.789173,-6.6127834,-7.4857807,-15.562275,-15.2392645,-16.235363,0.68328124,-4.3750377,-4.0513287,-2.4156222,happy
